AGENCY #,AGENCY TITLE,ROLE,SERVICE TYPE,FULL/PART-TIME,ANNUAL SALARY
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,24323
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,33945
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,29188
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,28745
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Early Childhood Asso Teacher,Classified Staff,Full-Time,29972
58090,OUS - ACME University,Electrical/Control System Tech,Classified Staff,Full-Time,64479
58090,OUS - ACME University,Electrical/Control System Tech,Classified Staff,Full-Time,64479
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,53122
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,61567
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,55909
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,61572
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,55909
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,61572
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,61567
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,55909
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,61567
58090,OUS - ACME University,Electrician,Classified Staff,Full-Time,61572
58090,OUS - ACME University,Environ Health Safety Pro 2,Classified Staff,Full-Time,59472
58090,OUS - ACME University,Environ Health Safety Pro 2,Classified Staff,Full-Time,49191
58090,OUS - ACME University,Environ Health Safety Pro 2,Classified Staff,Full-Time,51541
58090,OUS - ACME University,Environ Health Safety Pro 2,Classified Staff,Full-Time,54017
58090,OUS - ACME University,Environ Health Safety Pro 3,Classified Staff,Full-Time,68604
58090,OUS - ACME University,Equipment Systems Specialist,Classified Staff,Full-Time,43540
58090,OUS - ACME University,Equipment Systems Specialist,Classified Staff,Full-Time,39290
58090,OUS - ACME University,Equipment Systems Specialist,Classified Staff,Full-Time,59484
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,32551
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,40764
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,42708
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,25459
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,31158
58090,OUS - ACME University,Executive Support Specialist 1,Classified Staff,Full-Time,38916
58090,OUS - ACME University,Executive Support Specialist 2,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Facilities Engineer 1,Classified Staff,Full-Time,46986
58090,OUS - ACME University,Facilities Engineer 1,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Fiscal Coordinator 2,Classified Staff,Full-Time,56679
58090,OUS - ACME University,Food Service Coordinator,Classified Staff,Full-Time,35463
58090,OUS - ACME University,Food Service Coordinator,Classified Staff,Full-Time,19481
58090,OUS - ACME University,Food Service Worker 2,Classified Staff,Part-Time,7493
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,44719
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,37127
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,37127
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,85324
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,35463
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,38916
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,38916
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,40767
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,38916
58090,OUS - ACME University,General Maintenance Mechanic,Classified Staff,Full-Time,44719
58090,OUS - ACME University,Grounds Maintenance Worker 1,Classified Staff,Full-Time,37128
58090,OUS - ACME University,Grounds Maintenance Worker 2,Classified Staff,Full-Time,40767
58090,OUS - ACME University,Horticulturist,Classified Staff,Part-Time,23023
58090,OUS - ACME University,Hvac Control Technician,Classified Staff,Full-Time,49200
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,44651
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,36945
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,40904
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,55668
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,36004
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,46121
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,56532
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,56029
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,48720
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,60168
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,35006
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,49981
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,62479
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,45063
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,41032
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,52686
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,36004
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,36399
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,42514
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,45591
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,36642
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,41254
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,60381
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,62568
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,62421
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,46237
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,35494
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,46655
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,54583
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,56775
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,63420
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,55283
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,19382
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,58040
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,63564
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,56821
58090,OUS - ACME University,Info Technology Consultant,Classified Staff,Full-Time,52995
